Year,Quarter,RegisteredUser,AppOpens
2018,1,6740,0
2018,1,6740,0
2018,1,6740,0
2018,1,6740,0
2018,2,9405,0
2018,2,9405,0
2018,2,9405,0
2018,2,9405,0
2018,3,12149,0
2018,3,12149,0
2018,3,12149,0
2018,3,12149,0
2018,4,15222,0
2018,4,15222,0
2018,4,15222,0
2018,4,15222,0
2019,1,18596,0
2019,1,18596,0
2019,1,18596,0
2019,1,18596,0
2019,2,21731,52640
2019,2,21731,52640
2019,2,21731,52640
2019,2,21731,52640
2019,3,23931,171107
2019,3,23931,171107
2019,3,23931,171107
2019,3,23931,171107
2019,4,25960,177012
2019,4,25960,177012
2019,4,25960,177012
2019,4,25960,177012
2020,1,28368,193586
2020,1,28368,193586
2020,1,28368,193586
2020,1,28368,193586
2020,2,32710,305072
2020,2,32710,305072
2020,2,32710,305072
2020,2,32710,305072
2020,3,41335,515565
2020,3,41335,515565
2020,3,41335,515565
2020,3,41335,515565
2020,4,52396,887208
2020,4,52396,887208
2020,4,52396,887208
2020,4,52396,887208
2021,1,57758,1004336
2021,1,57758,1004336
2021,1,57758,1004336
2021,1,57758,1004336
2021,2,62095,2248223
2021,2,62095,2248223
2021,2,62095,2248223
2021,2,62095,2248223
2021,3,66982,3121625
2021,3,66982,3121625
2021,3,66982,3121625
2021,3,66982,3121625
2021,4,71780,2112910
2021,4,71780,2112910
2021,4,71780,2112910
2021,4,71780,2112910
2022,1,76288,3847407
2022,1,76288,3847407
2022,1,76288,3847407
2022,1,76288,3847407
2022,2,80530,5180013
2022,2,80530,5180013
2022,2,80530,5180013
2022,2,80530,5180013
2022,3,84642,6068354
2022,3,84642,6068354
2022,3,84642,6068354
2022,3,84642,6068354
2022,4,88442,4354093
2022,4,88442,4354093
2022,4,88442,4354093
2022,4,88442,4354093
2018,1,3336450,0
2018,1,3336450,0
2018,1,3336450,0
2018,1,3336450,0
2018,2,4402540,0
2018,2,4402540,0
2018,2,4402540,0
2018,2,4402540,0
2018,3,5427617,0
2018,3,5427617,0
2018,3,5427617,0
2018,3,5427617,0
2018,4,6857409,0
2018,4,6857409,0
2018,4,6857409,0
2018,4,6857409,0
2019,1,8283019,0
2019,1,8283019,0
2019,1,8283019,0
2019,1,8283019,0
2019,2,9389003,81375251
2019,2,9389003,81375251
2019,2,9389003,81375251
2019,2,9389003,81375251
2019,3,10458693,310953542
2019,3,10458693,310953542
2019,3,10458693,310953542
2019,3,10458693,310953542
2019,4,11757883,411201518
2019,4,11757883,411201518
2019,4,11757883,411201518
2019,4,11757883,411201518
2020,1,13022060,486513773
2020,1,13022060,486513773
2020,1,13022060,486513773
2020,1,13022060,486513773
2020,2,14319675,494341698
2020,2,14319675,494341698
2020,2,14319675,494341698
2020,2,14319675,494341698
