Year,Quarter,RegisteredUser,AppOpens
2018,1,187510612,0
2018,2,254592036,0
2018,3,320042356,0
2018,4,409046484,0
2019,1,493728752,0
2019,2,567230616,3681638124
2019,3,637173276,13793423432
2019,4,713113668,17204246128
2020,1,790297836,19075738348
2020,2,875982384,17430489040
2020,3,964675584,22957225648
2020,4,1057081736,29846366928
2021,1,1139938044,34541888604
2021,2,1221028404,38522309488
2021,3,1313415424,49025243740
2021,4,1404641048,60689795580
2022,1,1491802508,62896452736
2022,2,1573693528,71146246548
2022,3,1657294184,76892882428
2022,4,1735786212,85050305768
