Year,Quarter,State,Count,Amount
2018,1,andaman-&-nicobar-islands,6658,14631761.22198579
2018,1,andhra-pradesh,9039585,11996276391.823051
2018,1,arunachal-pradesh,45497,92387336.00940925
2018,1,assam,1056881,1157804456.2124696
2018,1,bihar,5824302,6045758172.01712
2018,1,chandigarh,381895,613435420.8676233
2018,1,chhattisgarh,1891514,2149155557.2367706
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,148549,175658384.10921687
2018,1,delhi,7122754,11211503806.919956
2018,1,goa,160897,303856742.3430836
2018,1,gujarat,5948775,7577982255.033993
2018,1,haryana,4480770,6793511514.660353
2018,1,himachal-pradesh,481918,628737806.3723382
2018,1,jammu-&-kashmir,941568,1005371239.2561288
2018,1,jharkhand,2178921,2374186389.919391
2018,1,karnataka,12016899,19217895314.01276
2018,1,kerala,1771380,2402674753.1005144
2018,1,ladakh,6089,12532857.771114783
2018,1,lakshadweep,778,1928611.1808777405
2018,1,madhya-pradesh,8025395,8681603403.445732
2018,1,maharashtra,16387034,21711613257.72505
2018,1,manipur,84069,128046173.93020909
2018,1,meghalaya,49571,66250259.789900534
2018,1,mizoram,18561,45227219.97579085
2018,1,nagaland,42845,78005891.08612508
2018,1,odisha,5809821,4627632210.887464
2018,1,puducherry,104212,165825971.36983612
2018,1,punjab,1870433,2780758224.8544054
2018,1,rajasthan,7591690,8926293130.726667
2018,1,sikkim,44078,64650938.94036843
2018,1,tamil-nadu,6726622,11261557697.516497
2018,1,telangana,8522766,13308204118.5422
2018,1,tripura,148157,137978914.5306226
2018,1,uttar-pradesh,12537805,13939970923.222141
2018,1,uttarakhand,1246685,1508545358.5238893
2018,1,west-bengal,11710225,10625978552.14011
2018,2,andaman-&-nicobar-islands,11340,28338535.507953543
2018,2,andhra-pradesh,12353918,22883914272.633926
2018,2,arunachal-pradesh,82157,198970192.34204647
2018,2,assam,1663873,2350585135.5377946
2018,2,bihar,8632378,13506131109.672344
2018,2,chandigarh,479084,961223261.74473
2018,2,chhattisgarh,2816156,4264170443.161663
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,202626,302070771.6561516
2018,2,delhi,9373723,17446299902.20515
2018,2,goa,229575,478603825.3586153
2018,2,gujarat,7745733,12162684771.641142
2018,2,haryana,6150931,11320414442.116573
2018,2,himachal-pradesh,687695,1183169301.3511248
2018,2,jammu-&-kashmir,1796326,2651206236.5028706
2018,2,jharkhand,3152080,4721575659.062874
2018,2,karnataka,17116447,33515580081.30256
2018,2,kerala,2308165,3886923343.4426317
2018,2,ladakh,15010,47334902.53774147
2018,2,lakshadweep,2132,6187809.539400538
2018,2,madhya-pradesh,10561412,15924081066.680033
2018,2,maharashtra,22285740,36357057241.12164
2018,2,manipur,151721,253209721.31949443
2018,2,meghalaya,67857,117004667.84183154
2018,2,mizoram,27051,83508405.55773434
2018,2,nagaland,65599,153325577.8803015
2018,2,odisha,8158144,8488310339.619964
2018,2,puducherry,130261,285801119.53243685
2018,2,punjab,2581163,4684672212.007043
2018,2,rajasthan,9973697,15559086175.758575
2018,2,sikkim,74578,143693085.5297956
2018,2,tamil-nadu,9992128,20125844276.267284
2018,2,telangana,10764670,23017201517.652706
2018,2,tripura,214559,236891718.71613598
2018,2,uttar-pradesh,17710943,25720201695.70151
2018,2,uttarakhand,1704122,2679755378.5510435
2018,2,west-bengal,18082446,18629183470.204056
2018,3,andaman-&-nicobar-islands,16265,55557471.13431111
2018,3,andhra-pradesh,25626061,35718044599.21376
2018,3,arunachal-pradesh,131146,331726406.741391
2018,3,assam,2351851,3811134989.914297
2018,3,bihar,14367804,20135804378.90088
2018,3,chandigarh,616936,1369354447.5343118
2018,3,chhattisgarh,3859604,6302307073.446378
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,289575,447639595.67817557
2018,3,delhi,18547048,27375846860.618557
2018,3,goa,339511,713166969.2382338
2018,3,gujarat,11334149,17866404426.275417
2018,3,haryana,8262024,16375139007.627409
2018,3,himachal-pradesh,886754,1754041432.858032
2018,3,jammu-&-kashmir,2303961,3934700999.457681
2018,3,jharkhand,8122621,8661571417.704533
2018,3,karnataka,25980261,48225091755.80751
2018,3,kerala,3134348,5323025223.875486
2018,3,ladakh,24864,84090977.14484604
2018,3,lakshadweep,1703,4339032.311985849
2018,3,madhya-pradesh,17126985,24149742204.67109
2018,3,maharashtra,31538538,52260817733.2465
2018,3,manipur,189258,383331244.7941222
2018,3,meghalaya,110290,209853661.5343937
2018,3,mizoram,39316,116600738.12539029
2018,3,nagaland,94371,241792742.93665278
2018,3,odisha,30052155,23094515775.583946
2018,3,puducherry,190271,417658075.4942071
2018,3,punjab,3462108,7065687043.821237
2018,3,rajasthan,14257098,24040768671.211685
2018,3,sikkim,108500,235080226.9533176
2018,3,tamil-nadu,15774078,29330092241.182823
2018,3,telangana,19332703,32030093209.723316
2018,3,tripura,377703,453863388.0405923
2018,3,uttar-pradesh,26515356,37012114369.23984
2018,3,uttarakhand,2229132,3726573039.8585076
2018,3,west-bengal,53705416,41843934183.17735
2018,4,andaman-&-nicobar-islands,23758,90548336.07445517
2018,4,andhra-pradesh,30759548,51473779406.84181
2018,4,arunachal-pradesh,176429,504040029.09175974
2018,4,assam,3734172,5888022859.0130625
2018,4,bihar,15732401,28397997168.577957
2018,4,chandigarh,905116,2032591591.779975
2018,4,chhattisgarh,5365844,9416412664.97134
2018,4,dadra-&-nagar-haveli-&-daman-&-diu,404082,658750616.8008869
2018,4,delhi,29187719,39722857618.706406
2018,4,goa,514755,1153005078.9224048
2018,4,gujarat,14733303,24830987102.782555
2018,4,haryana,12950183,25390876016.455875
2018,4,himachal-pradesh,1307883,2621298968.1392374
2018,4,jammu-&-kashmir,2721310,5664720265.697473
2018,4,jharkhand,6284043,10241916641.122265
2018,4,karnataka,44812071,73008386576.07219
2018,4,kerala,4310654,7747361236.81236
2018,4,ladakh,35211,135522842.49263754
2018,4,lakshadweep,1642,4463213.698222831
2018,4,madhya-pradesh,21397555,33905608072.96817
2018,4,maharashtra,46090223,79518937047.83649
2018,4,manipur,236110,605683559.3060098
2018,4,meghalaya,161132,337585679.00467265
2018,4,mizoram,55242,190426852.52952963
2018,4,nagaland,139333,388013467.5456229
2018,4,odisha,21142798,23429869571.56183
2018,4,puducherry,307964,625691665.423495
2018,4,punjab,4887137,10781982573.649637
2018,4,rajasthan,20959723,37909087083.339165
2018,4,sikkim,154533,383141358.0782536
2018,4,tamil-nadu,22457444,43302073975.895355
2018,4,telangana,28921154,49509088448.04936
2018,4,tripura,448059,624885599.4644458
2018,4,uttar-pradesh,36100767,55096743575.91992
2018,4,uttarakhand,3178761,5654272137.963861
2018,4,west-bengal,36513548,40489619211.70476
2019,1,andaman-&-nicobar-islands,30486,102299740.6734899
2019,1,andhra-pradesh,57264522,83760595917.07922
2019,1,arunachal-pradesh,226506,609950106.3139493
2019,1,assam,4533005,8002099536.450749
2019,1,bihar,26356234,41502827514.5264
2019,1,chandigarh,1274476,2396032050.444029
2019,1,chhattisgarh,7887669,12544556385.328346
2019,1,dadra-&-nagar-haveli-&-daman-&-diu,661814,843369776.0499012
2019,1,delhi,47007327,58469131789.49722
2019,1,goa,738812,1475323397.2765768
2019,1,gujarat,24991451,35856080308.47684
2019,1,haryana,22135775,34051655721.632015
2019,1,himachal-pradesh,2168718,3381481442.991052
2019,1,jammu-&-kashmir,3584987,5951835476.52097
