Entity_Name,Year,Quarter,Type,Count,Amount,State
744101,2018,1,Pincode,1622,2769297.9039997994,andaman-&-nicobar-islands
744103,2018,1,Pincode,1223,2238041.8716124697,andaman-&-nicobar-islands
744102,2018,1,Pincode,969,3519059.937562449,andaman-&-nicobar-islands
744105,2018,1,Pincode,685,1298560.9515503529,andaman-&-nicobar-islands
744104,2018,1,Pincode,340,1039715.3111450541,andaman-&-nicobar-islands
744107,2018,1,Pincode,302,556059.5308556345,andaman-&-nicobar-islands
744301,2018,1,Pincode,283,445739.1633851439,andaman-&-nicobar-islands
744112,2018,1,Pincode,269,333709.56700413954,andaman-&-nicobar-islands
744202,2018,1,Pincode,193,238914.01667155625,andaman-&-nicobar-islands
744302,2018,1,Pincode,168,547469.6509380838,andaman-&-nicobar-islands
south andaman,2018,1,District,5688,12560249.343665812,andaman-&-nicobar-islands
nicobars,2018,1,District,528,1139848.801225994,andaman-&-nicobar-islands
north and middle andaman,2018,1,District,442,931663.0770939873,andaman-&-nicobar-islands
744101,2018,2,Pincode,2701,6310089.917084678,andaman-&-nicobar-islands
744103,2018,2,Pincode,1965,4752146.698501162,andaman-&-nicobar-islands
744102,2018,2,Pincode,1525,5810267.574788321,andaman-&-nicobar-islands
744105,2018,2,Pincode,997,2200332.971862734,andaman-&-nicobar-islands
744301,2018,2,Pincode,767,1953749.3787199226,andaman-&-nicobar-islands
744104,2018,2,Pincode,659,1650346.1906506256,andaman-&-nicobar-islands
744107,2018,2,Pincode,594,1601569.9821441039,andaman-&-nicobar-islands
744112,2018,2,Pincode,432,578829.1795229593,andaman-&-nicobar-islands
744202,2018,2,Pincode,405,626523.9803147907,andaman-&-nicobar-islands
744302,2018,2,Pincode,291,1026590.0735863491,andaman-&-nicobar-islands
south andaman,2018,2,District,9395,23948235.51634325,andaman-&-nicobar-islands
nicobars,2018,2,District,1120,3072436.9081196385,andaman-&-nicobar-islands
north and middle andaman,2018,2,District,825,1317863.0834906558,andaman-&-nicobar-islands
744101,2018,3,Pincode,3462,10833893.444488766,andaman-&-nicobar-islands
744103,2018,3,Pincode,3182,10184154.358592123,andaman-&-nicobar-islands
744102,2018,3,Pincode,2224,10365275.479700703,andaman-&-nicobar-islands
744105,2018,3,Pincode,1613,5152534.080403434,andaman-&-nicobar-islands
744104,2018,3,Pincode,1029,2588077.6866583927,andaman-&-nicobar-islands
744301,2018,3,Pincode,975,4256576.349618757,andaman-&-nicobar-islands
744112,2018,3,Pincode,579,1145815.7801705198,andaman-&-nicobar-islands
744107,2018,3,Pincode,547,1492405.302862124,andaman-&-nicobar-islands
744302,2018,3,Pincode,417,1976781.9199490356,andaman-&-nicobar-islands
744202,2018,3,Pincode,341,2099404.0789861116,andaman-&-nicobar-islands
south andaman,2018,3,District,13511,44268112.46425246,andaman-&-nicobar-islands
nicobars,2018,3,District,1471,6387829.151558982,andaman-&-nicobar-islands
north and middle andaman,2018,3,District,1283,4901529.518499676,andaman-&-nicobar-islands
744101,2018,4,Pincode,4674,16392855.280625317,andaman-&-nicobar-islands
744103,2018,4,Pincode,4576,17022520.257624768,andaman-&-nicobar-islands
744102,2018,4,Pincode,3306,17019977.183053624,andaman-&-nicobar-islands
744105,2018,4,Pincode,2513,9935282.832151461,andaman-&-nicobar-islands
744104,2018,4,Pincode,1432,6091757.917089159,andaman-&-nicobar-islands
744211,2018,4,Pincode,1225,3451359.606027063,andaman-&-nicobar-islands
744301,2018,4,Pincode,928,4606293.657525641,andaman-&-nicobar-islands
744112,2018,4,Pincode,759,2208675.0435713646,andaman-&-nicobar-islands
744107,2018,4,Pincode,747,1825659.5128978956,andaman-&-nicobar-islands
744202,2018,4,Pincode,702,3797054.1677634423,andaman-&-nicobar-islands
south andaman,2018,4,District,20136,75411840.8018554,andaman-&-nicobar-islands
north and middle andaman,2018,4,District,2137,7955635.917688001,andaman-&-nicobar-islands
nicobars,2018,4,District,1485,7180859.354911782,andaman-&-nicobar-islands
744103,2019,1,Pincode,5742,19401964.77965755,andaman-&-nicobar-islands
744101,2019,1,Pincode,5156,15501306.227195919,andaman-&-nicobar-islands
744102,2019,1,Pincode,3925,16683547.094795756,andaman-&-nicobar-islands
744105,2019,1,Pincode,3553,11588669.48032856,andaman-&-nicobar-islands
744104,2019,1,Pincode,2833,9141657.219605077,andaman-&-nicobar-islands
744211,2019,1,Pincode,1511,5794838.401831552,andaman-&-nicobar-islands
744202,2019,1,Pincode,1112,3613381.294736007,andaman-&-nicobar-islands
744107,2019,1,Pincode,1029,3592930.2975779255,andaman-&-nicobar-islands
744301,2019,1,Pincode,920,4652963.41114777,andaman-&-nicobar-islands
744112,2019,1,Pincode,802,1893718.6537822199,andaman-&-nicobar-islands
south andaman,2019,1,District,25683,85501972.38780196,andaman-&-nicobar-islands
north and middle andaman,2019,1,District,3264,9561708.736298349,andaman-&-nicobar-islands
nicobars,2019,1,District,1539,7236059.549389593,andaman-&-nicobar-islands
744104,2019,2,Pincode,6142,15625676.560883244,andaman-&-nicobar-islands
744103,2019,2,Pincode,5847,23751450.067206983,andaman-&-nicobar-islands
744101,2019,2,Pincode,4863,19061125.41121897,andaman-&-nicobar-islands
744102,2019,2,Pincode,4120,18948733.987097777,andaman-&-nicobar-islands
744105,2019,2,Pincode,3500,13418692.199162653,andaman-&-nicobar-islands
744202,2019,2,Pincode,1153,3619993.3910789257,andaman-&-nicobar-islands
744107,2019,2,Pincode,1124,2967445.3902032813,andaman-&-nicobar-islands
744211,2019,2,Pincode,1047,3168331.9917352106,andaman-&-nicobar-islands
744301,2019,2,Pincode,1007,4849284.51925976,andaman-&-nicobar-islands
744112,2019,2,Pincode,763,2928099.608406143,andaman-&-nicobar-islands
south andaman,2019,2,District,28490,102530955.71341258,andaman-&-nicobar-islands
north and middle andaman,2019,2,District,3371,8612103.13788812,andaman-&-nicobar-islands
nicobars,2019,2,District,1828,9111650.82436246,andaman-&-nicobar-islands
744103,2019,3,Pincode,5680,19906337.014255583,andaman-&-nicobar-islands
744101,2019,3,Pincode,5606,18745152.093515635,andaman-&-nicobar-islands
744104,2019,3,Pincode,4786,15754793.354826454,andaman-&-nicobar-islands
744102,2019,3,Pincode,3643,14572605.602745283,andaman-&-nicobar-islands
744105,2019,3,Pincode,3512,11767223.99688773,andaman-&-nicobar-islands
744202,2019,3,Pincode,1417,3875602.0982028744,andaman-&-nicobar-islands
744301,2019,3,Pincode,1402,6195496.621729916,andaman-&-nicobar-islands
744211,2019,3,Pincode,1118,2983697.449378184,andaman-&-nicobar-islands
744107,2019,3,Pincode,914,1988299.759710987,andaman-&-nicobar-islands
744112,2019,3,Pincode,833,2198831.6919406196,andaman-&-nicobar-islands
south andaman,2019,3,District,27421,91023888.32848613,andaman-&-nicobar-islands
north and middle andaman,2019,3,District,4049,11481466.283356791,andaman-&-nicobar-islands
nicobars,2019,3,District,2300,11566421.475451011,andaman-&-nicobar-islands
744104,2019,4,Pincode,6633,20626642.701508522,andaman-&-nicobar-islands
744101,2019,4,Pincode,5282,23247752.473849062,andaman-&-nicobar-islands
744103,2019,4,Pincode,4840,19792507.955761045,andaman-&-nicobar-islands
744105,2019,4,Pincode,3528,15302141.17488026,andaman-&-nicobar-islands
744102,2019,4,Pincode,3237,15350444.97320769,andaman-&-nicobar-islands
744202,2019,4,Pincode,1783,5800016.5561128855,andaman-&-nicobar-islands
744211,2019,4,Pincode,1596,7908264.721918669,andaman-&-nicobar-islands
744301,2019,4,Pincode,1549,7056478.928838715,andaman-&-nicobar-islands
744201,2019,4,Pincode,886,946768.0636478986,andaman-&-nicobar-islands
744107,2019,4,Pincode,777,3030368.911900454,andaman-&-nicobar-islands
south andaman,2019,4,District,27843,110930312.20611623,andaman-&-nicobar-islands
north and middle andaman,2019,4,District,4716,13524056.784573946,andaman-&-nicobar-islands
nicobars,2019,4,District,2600,12384161.52668771,andaman-&-nicobar-islands
744101,2020,1,Pincode,11793,58229349.02415232,andaman-&-nicobar-islands
744103,2020,1,Pincode,5870,22009443.073053975,andaman-&-nicobar-islands
744105,2020,1,Pincode,4635,16774043.311987936,andaman-&-nicobar-islands
744102,2020,1,Pincode,3820,14517706.12269676,andaman-&-nicobar-islands
744211,2020,1,Pincode,1837,8425387.79004211,andaman-&-nicobar-islands
