Entity_Name,Year,Quarter,Type,Registered_User,State
744103,2018,1,Pincode,1608,andaman-&-nicobar-islands
744101,2018,1,Pincode,1108,andaman-&-nicobar-islands
744105,2018,1,Pincode,1075,andaman-&-nicobar-islands
744102,2018,1,Pincode,1006,andaman-&-nicobar-islands
744104,2018,1,Pincode,272,andaman-&-nicobar-islands
744202,2018,1,Pincode,237,andaman-&-nicobar-islands
744112,2018,1,Pincode,215,andaman-&-nicobar-islands
744301,2018,1,Pincode,207,andaman-&-nicobar-islands
744107,2018,1,Pincode,196,andaman-&-nicobar-islands
744211,2018,1,Pincode,156,andaman-&-nicobar-islands
south andaman,2018,1,District,5846,andaman-&-nicobar-islands
north and middle andaman,2018,1,District,632,andaman-&-nicobar-islands
nicobars,2018,1,District,262,andaman-&-nicobar-islands
744103,2018,2,Pincode,2188,andaman-&-nicobar-islands
744101,2018,2,Pincode,1521,andaman-&-nicobar-islands
744105,2018,2,Pincode,1492,andaman-&-nicobar-islands
744102,2018,2,Pincode,1419,andaman-&-nicobar-islands
744104,2018,2,Pincode,396,andaman-&-nicobar-islands
744202,2018,2,Pincode,343,andaman-&-nicobar-islands
744112,2018,2,Pincode,299,andaman-&-nicobar-islands
744107,2018,2,Pincode,293,andaman-&-nicobar-islands
744301,2018,2,Pincode,273,andaman-&-nicobar-islands
744211,2018,2,Pincode,240,andaman-&-nicobar-islands
south andaman,2018,2,District,8143,andaman-&-nicobar-islands
north and middle andaman,2018,2,District,911,andaman-&-nicobar-islands
nicobars,2018,2,District,351,andaman-&-nicobar-islands
744103,2018,3,Pincode,2741,andaman-&-nicobar-islands
744101,2018,3,Pincode,1978,andaman-&-nicobar-islands
744105,2018,3,Pincode,1935,andaman-&-nicobar-islands
744102,2018,3,Pincode,1803,andaman-&-nicobar-islands
744104,2018,3,Pincode,507,andaman-&-nicobar-islands
744202,2018,3,Pincode,446,andaman-&-nicobar-islands
744112,2018,3,Pincode,388,andaman-&-nicobar-islands
744107,2018,3,Pincode,384,andaman-&-nicobar-islands
744301,2018,3,Pincode,372,andaman-&-nicobar-islands
744211,2018,3,Pincode,327,andaman-&-nicobar-islands
south andaman,2018,3,District,10474,andaman-&-nicobar-islands
north and middle andaman,2018,3,District,1208,andaman-&-nicobar-islands
nicobars,2018,3,District,467,andaman-&-nicobar-islands
744103,2018,4,Pincode,3373,andaman-&-nicobar-islands
744101,2018,4,Pincode,2498,andaman-&-nicobar-islands
744105,2018,4,Pincode,2416,andaman-&-nicobar-islands
744102,2018,4,Pincode,2231,andaman-&-nicobar-islands
744104,2018,4,Pincode,634,andaman-&-nicobar-islands
744202,2018,4,Pincode,554,andaman-&-nicobar-islands
744107,2018,4,Pincode,548,andaman-&-nicobar-islands
744112,2018,4,Pincode,496,andaman-&-nicobar-islands
744211,2018,4,Pincode,433,andaman-&-nicobar-islands
744301,2018,4,Pincode,425,andaman-&-nicobar-islands
south andaman,2018,4,District,13133,andaman-&-nicobar-islands
north and middle andaman,2018,4,District,1553,andaman-&-nicobar-islands
nicobars,2018,4,District,536,andaman-&-nicobar-islands
744103,2019,1,Pincode,4136,andaman-&-nicobar-islands
744101,2019,1,Pincode,3030,andaman-&-nicobar-islands
744105,2019,1,Pincode,2994,andaman-&-nicobar-islands
744102,2019,1,Pincode,2667,andaman-&-nicobar-islands
744104,2019,1,Pincode,756,andaman-&-nicobar-islands
744202,2019,1,Pincode,753,andaman-&-nicobar-islands
744107,2019,1,Pincode,667,andaman-&-nicobar-islands
744112,2019,1,Pincode,585,andaman-&-nicobar-islands
744211,2019,1,Pincode,524,andaman-&-nicobar-islands
744301,2019,1,Pincode,488,andaman-&-nicobar-islands
south andaman,2019,1,District,15961,andaman-&-nicobar-islands
north and middle andaman,2019,1,District,2013,andaman-&-nicobar-islands
