Entity_Name,Year,Quarter,Type,Registered_User
560001,2018,1,Pincode,2917356
110006,2018,1,Pincode,2636324
400008,2018,1,Pincode,2227885
600003,2018,1,Pincode,2010196
731101,2018,1,Pincode,1764956
700009,2018,1,Pincode,1390629
411001,2018,1,Pincode,1055656
500012,2018,1,Pincode,933013
462001,2018,1,Pincode,832846
201301,2018,1,Pincode,690196
560001,2018,2,Pincode,3777086
110006,2018,2,Pincode,3069733
600003,2018,2,Pincode,2771900
400008,2018,2,Pincode,2631405
731101,2018,2,Pincode,2134258
700009,2018,2,Pincode,1473202
411001,2018,2,Pincode,1316115
500012,2018,2,Pincode,1024336
201301,2018,2,Pincode,971854
462001,2018,2,Pincode,928983
110006,2018,3,Pincode,7198882
560001,2018,3,Pincode,5764203
600003,2018,3,Pincode,4430587
400008,2018,3,Pincode,3111609
731101,2018,3,Pincode,2644866
700009,2018,3,Pincode,2531420
500012,2018,3,Pincode,1726388
411001,2018,3,Pincode,1689517
221001,2018,3,Pincode,1439623
201301,2018,3,Pincode,1438458
560001,2018,4,Pincode,7725284
110006,2018,4,Pincode,7532374
600003,2018,4,Pincode,5539392
400008,2018,4,Pincode,4586309
731101,2018,4,Pincode,3284268
700009,2018,4,Pincode,2939284
500012,2018,4,Pincode,2576408
201301,2018,4,Pincode,2504916
411001,2018,4,Pincode,2176631
560068,2018,4,Pincode,1630650
bengaluru urban,2018,1,District,8306513
pune,2018,1,District,3842929
central delhi,2018,1,District,2997714
mumbai,2018,1,District,2671029
chennai,2018,1,District,2656230
hyderabad,2018,1,District,2545507
jaipur,2018,1,District,2417174
birbhum,2018,1,District,2125816
kolkata,2018,1,District,2043129
bhopal,2018,1,District,1704495
bengaluru urban,2018,2,District,11916035
pune,2018,2,District,5162876
chennai,2018,2,District,3719593
central delhi,2018,2,District,3589206
mumbai,2018,2,District,3277612
jaipur,2018,2,District,3175255
hyderabad,2018,2,District,3156805
birbhum,2018,2,District,2775489
kolkata,2018,2,District,2501448
north twenty four parganas,2018,2,District,2119664
bengaluru urban,2018,3,District,18405424
central delhi,2018,3,District,8165361
pune,2018,3,District,7890491
birbhum,2018,3,District,6066238
chennai,2018,3,District,5887343
hyderabad,2018,3,District,5786941
khordha,2018,3,District,5333443
bankura,2018,3,District,5179457
jaipur,2018,3,District,4954443
north twenty four parganas,2018,3,District,4856114
bengaluru urban,2018,4,District,33061353
pune,2018,4,District,11075153
central delhi,2018,4,District,9373395
hyderabad,2018,4,District,9360515
chennai,2018,4,District,8007699
jaipur,2018,4,District,7271209
gautam buddha nagar,2018,4,District,6083056
mumbai,2018,4,District,6060284
rangareddy,2018,4,District,5803319
kolkata,2018,4,District,5401244
maharashtra,2018,1,State,12326137
karnataka,2018,1,State,10177578
west-bengal,2018,1,State,9033574
andhra-pradesh,2018,1,State,7672341
delhi,2018,1,State,6942594
telangana,2018,1,State,6703014
uttar-pradesh,2018,1,State,5980568
tamil-nadu,2018,1,State,5373569
rajasthan,2018,1,State,5103993
madhya-pradesh,2018,1,State,4704960
maharashtra,2018,2,State,16549875
karnataka,2018,2,State,14544704
west-bengal,2018,2,State,13420622
andhra-pradesh,2018,2,State,10573620
delhi,2018,2,State,9143674
telangana,2018,2,State,8456139
uttar-pradesh,2018,2,State,8202771
tamil-nadu,2018,2,State,7921837
rajasthan,2018,2,State,6700883
madhya-pradesh,2018,2,State,6074432
west-bengal,2018,3,State,40197594
maharashtra,2018,3,State,23868441
odisha,2018,3,State,22436659
andhra-pradesh,2018,3,State,22273156
karnataka,2018,3,State,22263916
delhi,2018,3,State,18210701
telangana,2018,3,State,15767289
uttar-pradesh,2018,3,State,14773477
tamil-nadu,2018,3,State,12572564
madhya-pradesh,2018,3,State,10135735
karnataka,2018,4,State,39156631
maharashtra,2018,4,State,35003075
delhi,2018,4,State,28409924
west-bengal,2018,4,State,27695831
andhra-pradesh,2018,4,State,26431472
telangana,2018,4,State,23933282
uttar-pradesh,2018,4,State,19333826
tamil-nadu,2018,4,State,17722255
odisha,2018,4,State,14853178
rajasthan,2018,4,State,14425057
560001,2019,1,Pincode,16241340
110006,2019,1,Pincode,10251048
500012,2019,1,Pincode,9957548
600003,2019,1,Pincode,8217185
110011,2019,1,Pincode,6689740
400008,2019,1,Pincode,6494529
700009,2019,1,Pincode,6353573
411006,2019,1,Pincode,5641935
302001,2019,1,Pincode,4954219
201301,2019,1,Pincode,4596696
560001,2019,2,Pincode,27169035
500012,2019,2,Pincode,23303184
411006,2019,2,Pincode,22544991
110011,2019,2,Pincode,20001452
302001,2019,2,Pincode,14130072
700009,2019,2,Pincode,9694969
800015,2019,2,Pincode,9362673
226004,2019,2,Pincode,8966947
751002,2019,2,Pincode,8318660
600003,2019,2,Pincode,6992850
560001,2019,3,Pincode,34182229
500012,2019,3,Pincode,27360144
411006,2019,3,Pincode,25995035
110011,2019,3,Pincode,20159577
302001,2019,3,Pincode,15037317
700009,2019,3,Pincode,11494363
751002,2019,3,Pincode,9990982
800015,2019,3,Pincode,8554034
400008,2019,3,Pincode,7234595
226004,2019,3,Pincode,6687157
560001,2019,4,Pincode,48600127
411006,2019,4,Pincode,32779718
500012,2019,4,Pincode,32637373
110011,2019,4,Pincode,22861243
302001,2019,4,Pincode,17153003
700009,2019,4,Pincode,16310685
751002,2019,4,Pincode,13743261
400008,2019,4,Pincode,10498727
800015,2019,4,Pincode,10441675
600003,2019,4,Pincode,10008230
bengaluru urban,2019,1,District,65174133
hyderabad,2019,1,District,24838664
pune,2019,1,District,23360634
jaipur,2019,1,District,19178441
rangareddy,2019,1,District,12952050
central delhi,2019,1,District,12885975
chennai,2019,1,District,11642449
gautam buddha nagar,2019,1,District,10750094
medchal malkajgiri,2019,1,District,10127087
new delhi,2019,1,District,10000765
bengaluru urban,2019,2,District,89148659
pune,2019,2,District,44795652
hyderabad,2019,2,District,43511186
jaipur,2019,2,District,27449382
new delhi,2019,2,District,23313548
rangareddy,2019,2,District,16348519
patna,2019,2,District,13421445
khordha,2019,2,District,13339889
kolkata,2019,2,District,13259522
lucknow,2019,2,District,12624404
bengaluru urban,2019,3,District,131234422
pune,2019,3,District,67093416
hyderabad,2019,3,District,55159072
jaipur,2019,3,District,36334520
new delhi,2019,3,District,24687138
rangareddy,2019,3,District,23655175
khordha,2019,3,District,18364742
medchal malkajgiri,2019,3,District,17492750
visakhapatnam,2019,3,District,16694947
kolkata,2019,3,District,16306691
bengaluru urban,2019,4,District,180458808
pune,2019,4,District,91666565
hyderabad,2019,4,District,72987282
jaipur,2019,4,District,44335592
rangareddy,2019,4,District,31237803
new delhi,2019,4,District,29048107
khordha,2019,4,District,27477393
visakhapatnam,2019,4,District,23594874
medchal malkajgiri,2019,4,District,22999944
kolkata,2019,4,District,21917627
karnataka,2019,1,State,76988353
maharashtra,2019,1,State,59705792
telangana,2019,1,State,56139361
andhra-pradesh,2019,1,State,49109989
delhi,2019,1,State,45921980
west-bengal,2019,1,State,37163708
uttar-pradesh,2019,1,State,33532588
rajasthan,2019,1,State,32564104
tamil-nadu,2019,1,State,25954142
odisha,2019,1,State,24817690
karnataka,2019,2,State,104185095
maharashtra,2019,2,State,85380410
telangana,2019,2,State,80459650
delhi,2019,2,State,56029089
andhra-pradesh,2019,2,State,49715418
rajasthan,2019,2,State,40042728
uttar-pradesh,2019,2,State,38223303
west-bengal,2019,2,State,37805103
madhya-pradesh,2019,2,State,28545452
tamil-nadu,2019,2,State,26009318
karnataka,2019,3,State,154738972
maharashtra,2019,3,State,126477187
telangana,2019,3,State,108770208
delhi,2019,3,State,67912259
andhra-pradesh,2019,3,State,67691196
rajasthan,2019,3,State,54130022
west-bengal,2019,3,State,52590313
uttar-pradesh,2019,3,State,45004875
madhya-pradesh,2019,3,State,37723244
odisha,2019,3,State,33302211
karnataka,2019,4,State,214441576
maharashtra,2019,4,State,170661427
telangana,2019,4,State,144900670
andhra-pradesh,2019,4,State,94910835
delhi,2019,4,State,78873588
west-bengal,2019,4,State,75170513
rajasthan,2019,4,State,67510156
uttar-pradesh,2019,4,State,55705220
odisha,2019,4,State,51829782
madhya-pradesh,2019,4,State,47457745
500001,2020,1,Pincode,63671159
560001,2020,1,Pincode,57330889
411004,2020,1,Pincode,43278566
302016,2020,1,Pincode,24180734
110006,2020,1,Pincode,19881142
600003,2020,1,Pincode,14352747
110001,2020,1,Pincode,13167147
700009,2020,1,Pincode,13084249
751001,2020,1,Pincode,11782987
400070,2020,1,Pincode,10817537
500001,2020,2,Pincode,39752686
560001,2020,2,Pincode,38973791
411004,2020,2,Pincode,27617700
302016,2020,2,Pincode,22032140
110006,2020,2,Pincode,14401400
110001,2020,2,Pincode,9780539
800001,2020,2,Pincode,9603835
751001,2020,2,Pincode,9411361
600003,2020,2,Pincode,8641869
380001,2020,2,Pincode,8490730
500001,2020,3,Pincode,70732132
560001,2020,3,Pincode,56516908
